SMILES,AZ_LogD7.4,LogP,LogP_chembl,SLogD,SLogP
C=CCN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,,1.86,1.22,1.03778,1.63052
C=CCN1CCC23c4c5cccc4OC2C(O)CCC3C1C5,,,0.87,1.26638,2.17413
C=CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)cc(OC)c1OC,,1.47,,0.262331,1.212
C=CCN1CCCC1CNC(=O)c1cc2n[nH]nc2cc1OC,,1.37,,0.779058,0.83963
C=CCN1CCCN(CC=C)C1=S,,2.08,,1.46955,1.46955
C=CCN1CCN(CC(C)C)C(C2=NCCN2)C1,,,1.3,-0.866057,1.45874
C=CCN1CCN(CC=C)C1=S,,1.63,,1.12232,1.12232
C=CCN1CC[C@]23c4c5ccc(O)c4O[C@@H]2C(=O)CC[C@]3(O)[C@H]1C5,,,1.91,0.946696,1.19901
C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@]3(OC)C1C5,,,2.522,1.57805,1.75863
C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@]3(OCC)C1C5,,,3.047,1.93307,2.11575
C=CCN1CCc2nc(N)sc2CC1,,1.48,,0.117701,1.06576
C=CCN=C(S)N=NC(c1ccccn1)c1ccccn1,,1.68,,1.58587,1.745
C=CCN=C1N=CC(c2ccncc2)C=C1C#N,,2.07,,1.01557,1.01591
C=CCNC(=O)/C=C(C)/C=C/CC(C)CCCC(C)C,,,5.23,5.35814,5.35817
C=CCNC(=O)CN(CC=C)C(=O)C(Cl)Cl,,1,,1.28795,1.28795
C=CCNC(=O)N(CCC)CCCCC(NC(C)=O)C(=O)NCc1ccccc1,,1.75,,1.66393,1.66397
C=CCNC(=O)N(CCCCC(NC(C)=O)C(=O)NCc1ccccc1)Cc1ccccc1,,1.98,,2.10795,2.10798
C=CCNC(=O)NCC=C,,0.64,,0.509309,0.509314
C=CCNC(=O)c1[nH]cc(-c2ccc(Cl)cc2)c1N1CCOCC1,,,3.7,3.03631,3.03708
C=CCNC(=O)c1cc([N+](=O)[O-])cc2c(=O)[nH]c(Nc3ccc(Cl)c(Cl)c3)nc12,2.7,,,2.50737,3.27736
C=CCNCC=C,,1.11,,-1.07393,0.817987
C=CCNCCCNCC=C,,,1.86,-2.57048,0.683302
C=CCNS(=O)(=O)c1ccc(NC(=O)[C@@](C)(O)C(F)(F)F)c(Cl)c1,3.07,,,2.33427,2.33545
C=CCNc1cc(-c2nc(N)n[nH]2)ccn1,,,1.26,1.13584,1.13793
C=CCNc1cc(-c2nc[nH]n2)ccn1,,1.26,,1.25351,1.349
C=CCNc1nc(Cl)nc(NCC=C)n1,,2.75,,2.16895,2.16895
C=CCNc1nc(SC)nc2ccccc12,,,5.13,2.98288,2.98331
C=CCNc1ncnc2nc[nH]c12,,1.09,,0.685842,0.687057
C=CCO,,0.17,,0.125149,0.125149
C=CCO/C(O)=N/c1ccc(OCC)c(OCC)c1,,2.75,,1.63036,1.63057
C=CCOC(=O)/C=C(C)/C=C/CC(C)CCCC(C)(C)OC,,,5.53,5.77374,5.77374
C=CCOC(=O)/C=C(C)/C=C/CC(C)CCCC(C)C,,,6.73,6.48911,6.48911
C=CCOC(=O)c1c(O)nc2cc(Cl)ccc2c1O,,3.06,1.06,2.14143,3.99265
C=CCOC(=O)c1ccccc1C(=O)OCC=C,,3.23,,2.71841,2.71841
C=CCOC(C)=O,,0.97,,0.816605,0.816605
C=CCOC(Cn1ccnc1)c1ccc(Cl)cc1Cl,,3.82,,3.43471,3.49265
C=CCOC1(c2ccccc2)CN(C)CCO1,,2.09,,2.05133,2.11316
C=CCOC1=C(C)C(=O)C2=C(C1=O)C(COC(N)=O)[C@]1(OC)C3NC3CN21,,,0.87,-0.0661689,0.162311
C=CCOC1=NS(=O)(=O)c2ccccc21,,1.4,,1.75675,1.75675
C=CCOCC(O)Cn1ccnc1[N+](=O)[O-],,0.4,,0.119277,0.119277
C=CCOCCO,,-0.1,,-0.0239068,-0.0239068
C=CCON=C(C)c1cccc(Oc2nc(OC)cc(OC)n2)c1C(=O)OC,,3.13,,2.77539,2.7754
C=CCOP(=O)(OCC=C)OCC=C,,1.76,,1.1499,1.1499
C=CCOc1cc(-c2cccc3c(=O)cc(N4CCOCC4)oc23)ccc1NC(=O)CN1CCOCC1,3,,,2.93315,2.93773
C=CCOc1cc(/N=C(/C)O)c(F)cc1Cl,,2.76,,2.06162,2.10312
C=CCOc1cc(N)ccc1C(=O)O,,1.25,,-0.432062,1.51267
C=CCOc1ccc(C(=O)c2ccc3n2CCC3C(=O)O)cc1,,3.48,3.48,-0.00189539,2.75286
C=CCOc1ccc(CC(=O)O)cc1Cl,,2.48,,0.0581587,2.75471
C=CCOc1ccc2c(c1)[n+]([O-])[nH]c(=N)[n+]2[O-],,0.76,,-0.164313,-0.106509
C=CCOc1ccccc1,,2.94,,2.70574,2.70574
C=CCOc1ccccc1C(=C)n1ccnc1,,2.79,,2.66243,2.66638
C=CCOc1ccccc1CC1C=NC(=N)NC1=N,,2.31,,1.14188,1.43788
C=CCOc1ccccc1OCC(CNC(C)C)OC(=O)C(C)C,,3.77,,1.77659,3.23906
C=CCOc1ccccc1OCC(CNC(C)C)OC(=O)C1CC1,,3.01,,1.61574,3.07134
C=CCOc1ccccc1OCC(CNC(C)C)OC(=O)C=CC,,3.65,,1.77579,3.09839
C=CCOc1ccccc1OCC(CNC(C)C)OC(=O)CC,,3.76,,1.33852,2.74907
C=CCOc1ccccc1OCC(CNC(C)C)OC(=O)CCC,,3.95,,1.91827,3.22144
C=CCOc1ccccc1OCC(CNC(C)C)OC(=O)CCCC,,4,,2.41289,3.64501
C=CCOc1ccccc1OCC(O)CNC(C)C,0.2,2.1,0.2,-0.0690556,1.96519
C=CCOc1noc2c1CNCC2,,0.56,,0.208894,0.899945
C=CCOn1c(O)nc(C)c(Br)c1=O,,0.32,,0.595622,0.91492
C=CCS(=O)(=O)c1cc(OC)c(OC)c(OC)c1,,1.34,,1.22951,1.22951
C=CCSC(=O)/C=C(C)/C=C/CC(C)CCCC(C)(C)OC,,,6.77,5.98821,5.98821
C=CCSC(=O)/C=C(C)/C=C/CC(C)CCCC(C)C,,,7.97,6.62559,6.62559
C=CCSCC1Nc2cc(Cl)c(S(N)(=O)=O)cc2S(=O)(=O)N1,,1.17,,1.21824,1.23072
C=CCSc1ccccc1,,3.51,,3.40448,3.40448
C=CC[C@@H]1CCC(CC)(CC(=O)O)c2[nH]c3c(CC)cccc3c21,,,6.3,2.55674,4.82497
C=CC[C@@H]1CCC(CC)(CC(=O)O)c2[nH]c3c(CCC)cccc3c21,,,6.9,3.05413,5.29301
C=CC[C@@H]1COC(CC)(CC(=O)O)c2[nH]c3c(CC)cccc3c21,,,4.5,1.15711,3.87316
C=CC[C@H]1C(=O)N(CCN(C)C)c2cccc(C(F)(F)F)c2C[C@@H]1c1ccc(OC)cc1,,,4.6,4.88845,5.84499
C=CC[C@H]1C(=O)N(CCN(C)C)c2ccccc2C[C@@H]1c1ccc(OC)cc1,,,3.3,3.48799,4.54301
C=CC[C@H]1CCC(CC)(CC(=O)O)c2[nH]c3c(C)cccc3c21,,,5.8,2.14727,4.45641
C=CC[C@H]1CCC(CC)(CC(=O)O)c2[nH]c3ccccc3c21,,,5.2,1.79611,4.06372
C=CC[C@H]1COC(CC)(CC(=O)O)c2[nH]c3c(C)cccc3c21,,,4,0.84877,3.48706
C=CC[C@H]1COC(CC)(CC(=O)O)c2[nH]c3ccccc3c21,,,3.3,0.483873,3.09535
C=CCc1c(O)ccc2c1CCO2,,,2.9,2.62872,2.62892
C=CCc1c(OC)cc(CC2C=NC(=N)NC2=N)cc1OCC,,2.66,,1.46206,1.89157
C=CCc1c(OCC)cc(CC2C=NC(=N)NC2=N)cc1OCC,,3.08,,1.78517,2.28778
C=CCc1cc(C2=NCCO2)ccc1OCCCCCc1cc(C)no1,,,4.93,3.25008,4.18182
C=CCc1cc(NC(C)=O)ccc1OCCCNC(C)C,-0.01,,,0.474472,2.93022
C=CCc1cc2c(c(C)c1O)CCO2,,,3.5,3.13236,3.13251
C=CCc1cc2c(cc1O)CCO2,,,2.9,2.74602,2.74622
C=CCc1ccc(O)c(OC)c1,,2.27,,2.22908,2.23029
C=CCc1cccc2c(=O)c(C)c(-c3ccccc3)oc12,,4.67,,4.43584,4.43584
C=CCc1ccccc1,,3.23,,3.12559,3.12559
C=CCc1ccccc1OCC(=O)NN,,2.86,,0.900802,0.900887
C=CCc1ccccc1OCC(O)CNC(C)C,0.99,3.1,3.1,0.36586,2.37668
C=CCc1csc(-c2ccc(C(C)C(=O)O)cc2)n1,,4.11,,0.00797001,2.94657
C=CCn1c(=O)c(N(C)C)c(C)n(-c2ccccc2)c1=O,,1.98,1.98,1.96971,1.96974
C=CCn1c(=O)c2c(-c3cc(C#N)cn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,4.27,,,4.05473,4.05483
C=CCn1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,3.62,,,3.82211,3.82405
C=CCn1c(=O)c2c(-c3nc(C#N)cn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,3.92,,,3.42273,3.42283
C=CCn1c(C)c(N(C)C)c(=O)n(-c2ccccc2)c1=O,,1.44,1.44,1.97471,1.97474
C=CCn1cccn1,,0.35,,0.638841,0.638843
C=CCn1cnc2c(O)n/c(=N/c3ccccc3)[nH]c21,,1.75,,2.11104,2.29098
C=CCn1cncc1[N+](=O)[O-],,0.52,,0.324627,0.324627
C=CCn1nnc(Oc2ccc(NC(=O)N(C)C)cc2)n1,,1.65,,1.26398,1.26408
C=CN1CCCC1=O,,0.37,,-0.110625,-0.110625
C=COC(=O)C(C)Oc1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],,4.54,,4.69705,4.69705
C=COC(C)=O,,0.73,,0.493595,0.493595
C=COCC,,1.04,1.04,0.963618,0.963618
C=COCCn1cnc2[nH]c(=O)n(C)c(=N)c21,,-0.78,,-0.696205,0.405574
C=COCCn1cnc2c(=N)n(C)c(=O)[nH]c21,,-0.24,,-1.00004,-0.101612
C=C[C@H]1CN2CC[C@@H]1C[C@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,2.26,,2.8,1.99271,2.65285
C=Cc1cc(C)ccc1C,,4.16,,3.73905,3.73905
C=Cc1cc(C2=NCCO2)ccc1OCCCCCc1cc(C)no1,,,4.65,2.70477,3.68494
C=Cc1ccc(C(=O)O)cc1,,2.18,,-0.494811,2.51682
C=Cc1ccc(C(=O)c2ccc3n2CCC3C(=O)O)cc1,,,3.47,-0.195186,2.80241
C=Cc1ccc(CC)cc1,,4.19,,3.81715,3.81715
C=Cc1ccc(Sc2ccccc2CN(C)C)c(N)c1,,,0,2.29789,3.52417
C=Cc1ccc([N+](=O)[O-])cc1,,,2.61,2.46135,2.46135
C=Cc1ccc([N+](=O)[O-])o1,,1.61,,1.51057,1.51057
C=Cc1cccc(CC)c1,,4.11,,3.77655,3.77655
C=Cc1ccccc1,,2.95,,2.75575,2.75575
C=Cc1ccccn1,,1.54,,1.29793,1.30211
C=Cc1cnc([N+](=O)[O-])n1C,,0.64,,0.491654,0.491654
C=Cc1csc(-c2ccc(C(C)C(=O)O)cc2)n1,,3.62,,-0.22179,2.78252
C=Cc1ncc([N+](=O)[O-])n1C,,0.62,,0.375413,0.375415
C=Cn1c([N+](=O)[O-])cnc1C=Cc1ccc(C(=O)O)cc1,,2.68,,-0.727667,2.34016
C=O,,0.35,,-0.0230399,-0.0230399
CBr,,1.19,1.19,1.25643,1.25643
CC,,1.81,1.81,1.72226,1.72226
CC#CC,,1.46,1.46,1.6957,1.6957
CC#CC#CC,,2.24,,2.17339,2.17339
CC#CC#CC#CC=CC(=O)OC,,3.85,,2.58427,2.58427
CC#CC#CC#Cc1ccccc1,,4.91,,4.49381,4.49381
CC#CC#Cc1ccc(C#CC(Cl)COC(C)=O)s1,,4.6,,4.28224,4.28224
CC#CC(=O)c1c(C)nc2c3c(c(C(=O)N(C)C)cn12)CCC(c1ccccc1)O3,,3.4,,2.95408,2.95412
CC#CC(O)c1c(C)nc2c3c(c(C(=O)N(C)C)cn12)CCC(c1ccccc1)O3,,2.7,,2.41595,2.41684
CC#CCOC(=O)/C=C(C)/C=C/CC(C)CCCC(C)C,,,6.4,6.71041,6.71041
CC#CCOC(C)c1ccc(OC)c(OC)c1,,2.4,,2.85448,2.85448
CC#CCn1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,3.61,,,4.13508,4.13644
CC#Cc1cc(C)nc(Nc2ccccc2)n1,,3.28,,3.2285,3.2287
CC#Cc1ccnc(-c2cc(C3(C4CC4)N=C(C)C(N)=N3)ccc2O)c1,3.6,,,2.7355,3.0527
CC#Cc1ccnc(-c2cccc([C@]3(c4cc(C)c(=O)n(CC)c4)N=C(N)c4c(F)cccc43)c2)c1,4.4,,,5.64714,5.68353
CC#Cc1cncc(-c2cccc(C3(C4CC4)N=C(C)C(N)=N3)c2)c1,3.3,,,2.68394,2.84378
CC#N,,-0.34,-0.34,-0.204017,-0.204017
CC(/C(O)=N/c1ccc([N+](=O)[O-])c(C(F)(F)F)c1)C(F)(F)F,,3.71,,1.11689,2.98208
CC(/C=C/C=C(C)/C=C/C12OC1(C)CCCC2(C)C)=C\C=O,,,4.91,5.5872,5.5872
CC(/C=C/C=C(C)/C=C/C1C(C)CCCC1(C)C)=C\C=O,,,7.29,6.29987,6.29987
CC(/C=C/C=C(C)/C=C/c1ccccc1)=C\C=O,,,5.37,4.18519,4.18519
CC(/C=C/C=C(C)/C=C/c1cccnc1)=C\C=O,,,4.69,2.96838,2.9686
CC(/C=C/C=C(C)/C=C/c1ccco1)=C\C=O,,,3.69,3.36457,3.36457
CC(/C=C/C=C(C)/C=C/c1ccsc1)=C\C=O,,,4.13,3.80671,3.80671
CC(/C=C/CC(C)CCCC(C)(C)C)=C\C(=O)OC(C)C,,,7.56,7.25532,7.25532
CC(/C=C/CC(C)CCCC(C)(C)Cl)=C\C(=O)OC(C)C,,,6.85,6.73519,6.73519
CC(/C=C/CC(C)CCCC(C)(C)O)=C\C(=O)OC(C)C,,,5.06,4.93668,4.93668
CC(/C=C/CC(C)CCCC(C)(C)OC(C)C)=C\C(=O)OC(C)C,,,6.9,6.92807,6.92807
CC(/C=C/CC(C)CCCC(C)(C)OC=O)=C\C(=O)OC(C)C,,,5.4,5.62677,5.62677
CC(/C=C/CC(C)CCCC(C)C)=C\C(=O)CC(C)C,,,7.22,6.94016,6.94016
CC(/C=C/CC(C)CCCC(C)C)=C\C(=O)N(C)C,,,4.94,5.72831,5.72831
CC(/C=C/CC(C)CCCC(C)C)=C\C(=O)NC(C)C,,,5.65,5.74265,5.74268
CC(/C=C/CC(C)CCCC(C)C)=C\C(=O)NCC(C)C,,,6.19,6.07214,6.0722
CC(/C=C/CC(C)CCCC(C)C)=C\C(=O)O,,,5.95,2.80352,5.51047
CC(/C=C/CC(C)CCCC(C)C)=C\C(=O)OC(C)(C)C,,,7.56,7.34958,7.34958
CC(/C=C/CC(C)CCCC(C)C)=C\C(=O)OC(C)C,,,7.15,6.91791,6.91791
CC(/C=C/CC(C)CCCC(C)C)=C\C(=O)OCC(C)C,,,7.69,7.31903,7.31903
CC(/C=C/CC(C)CCCC(C)C)=C\C(=O)OCc1ccccc1,,,7.87,7.41284,7.41284
CC(/C=C/CC(C)CCCC(C)C)=C\C(=O)Oc1ccccc1,,,7.67,7.45004,7.45004
CC(/C=C/CC(C)CCCC(C)C)=C\C(=O)SC(C)C,,,8.39,7.03865,7.03865
CC(/C=C/CC(C)CCCC(C)C)=C\C(=O)c1ccccc1,,,7.26,6.8782,6.8782
CC(/N=C(\O)C(/N=C(\O)C(N)Cc1ccccc1)C(C)C)C(=O)O,,-2.19,,-0.659965,-0.223874
CC(/N=C(\O)C(C)/N=C(\O)C(N)C(C)C)/C(O)=N/C(Cc1ccccc1)C(=O)O,,-1.91,,-0.423109,-0.320956
CC(/N=C(\O)C(Cc1ccccc1)/N=C(\O)C(N)Cc1c[nH]c2ccccc12)C(=O)O,,-1,,-0.392322,0.0680106
CC(/N=C(\O)C(N)Cc1c[nH]c2ccccc12)/C(O)=N/C(C(=N)O)C(C)C,,0.4,,0.833521,1.02819
CC(/N=C(\O)C(N)Cc1c[nH]c2ccccc12)C(=O)O,,-1.98,,-1.37047,-1.0755
CC(/N=C(\O)N(CCCl)N=O)C(=O)O,,0.78,,-1.81001,0.70001
CC(=C(C#N)C#N)c1ccccc1,,2.1,,2.11383,2.11383
CC(=CCNc1ncnc2[nH]cnc12)CO,,0.6,,0.877949,0.879023
CC(=Cc1ccccc1)C(=O)O,,2.6,,-0.351205,2.48586
CC(=Cc1ccccc1)[N+](=O)[O-],,2.52,,2.72211,2.72211
CC(=N)NCc1ccccc1,-0.28,,,-0.333922,1.5905
CC(=N)Nc1cccc(C(=O)NNC(=O)CC(CC(=O)O)c2cc(Cl)cc(Cl)c2)c1,,,2.55,1.43334,1.44888
CC(=N)Nc1cccc(C(=O)NNC(=O)CC(CC(=O)O)c2ccc(-c3ccccc3)cc2)c1,,,3.11,1.6778,1.68283
CC(=N)Nc1cccc(C(=O)NNC(=O)CC(CC(=O)O)c2ccc(Br)cc2)c1,,,2.27,0.947842,0.95559
CC(=N)Nc1cccc(C(=O)NNC(=O)CC(CC(=O)O)c2ccc(Cl)cc2)c1,,,2,0.918005,0.925514
CC(=N)Nc1cccc(C(=O)NNC(=O)CC(CC(=O)O)c2ccc(F)cc2)c1,,,1.6,0.711705,0.718086
CC(=N)Nc1cccc(C(=O)NNC(=O)CC(CC(=O)O)c2ccccc2)c1,,,1.44,0.470223,0.475935
CC(=NN=C(N)N)c1cccs1,,1.05,,0.231144,0.411439
CC(=NN=C(O)c1cccc(Br)c1)c1cnccn1,,2.9,,0.887811,2.87743
CC(=NN=C(O)c1ccccc1)c1cnccn1,,1.9,,0.22123,2.04919
CC(=NN=C(S)N(C)C)c1cc(C)ccc1O,,2.26,,3.2586,3.28265
CC(=NN=C(S)N=NC(S)N(C)C)c1ccccn1,,1.25,,1.07809,1.46892
CC(=NN=C(S)NNC(S)=Nc1ccccc1Cl)c1ccccn1,,2.67,,2.55801,3.29308
CC(=NO)c1ccsc1,,1.81,,1.70833,1.70841
CC(=NOCC(=O)O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],,4.3,,1.58175,4.1971
CC(=O)/C=C(C)/C=C/C=C(C)/C=C/C1(O)C(C)(C)CCCC1(C)O,,,4.2,3.78793,3.78793
CC(=O)/C=C(C)/C=C/C=C(C)/C=C/C12OC1(C)CCCC2(C)C,,,5.08,5.87335,5.87335
CC(=O)/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C,,,7.63,6.09747,6.09747
CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C,,,0.2,-0.23751,-0.00693622
CC(=O)/N=c1\[nH]onc1N,,-0.23,,-1.36834,-0.120011
CC(=O)C(=Cc1cc(O)c(O)c([N+](=O)[O-])c1)C(C)=O,,1.21,,-0.973479,1.39037
CC(=O)C(=Cc1ccc(Br)cc1)C(C)=O,,2.75,,2.38225,2.38225
CC(=O)C(=Cc1ccc(C)cc1)C(C)=O,,2.14,,2.23988,2.23988
CC(=O)C(=Cc1ccc(Cl)cc1)C(C)=O,,2.32,,2.27957,2.27957
CC(=O)C(=Cc1ccc(F)cc1)C(C)=O,,1.65,,1.91446,1.91446
CC(=O)C(=Cc1cccc(Cl)c1)C(C)=O,,2.26,,2.18488,2.18488
CC(=O)C(=Cc1ccccc1)C(C)=O,,1.59,,1.80361,1.80361
CC(=O)C(=Cc1ccccc1C)C(C)=O,,1.98,,2.1302,2.1302
CC(=O)C(=Cc1ccccc1Cl)C(C)=O,,2.19,,2.20606,2.20606
CC(=O)C(C#N)N=Nc1cc(C(F)(F)F)ccc1Cl,,5.08,,1.76276,3.48145
CC(=O)C(C#N)N=Nc1cc(Cl)cc(Cl)c1,,4.68,,1.18492,3.23898
CC(=O)C(C#N)N=Nc1ccc(Cl)c(Cl)c1,,4.56,,1.38591,3.23396
CC(=O)C(C#N)N=Nc1ccc(Cl)cc1,,4.1,,1.08422,2.69567
CC(=O)C(C#N)N=Nc1ccc(Cl)cc1C,,4.28,,1.01668,2.98389
CC(=O)C(C#N)N=Nc1ccc(SC(F)(F)F)cc1,,5.04,,1.75846,3.61888
CC(=O)C(C#N)N=Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],,3.4,,0.682086,1.96907
CC(=O)C(C#N)N=Nc1ccc2c(c1)OC(F)(F)C(F)(F)O2,,5.31,,1.22931,2.89589
CC(=O)C(C#N)N=Nc1cccc(Cl)c1,,3.9,,0.852421,2.68183
CC(=O)C(C#N)N=Nc1ccccc1Cl,,4,,0.853673,2.7018
CC(=O)C(C(=O)ON=C(C)C12CC3CC(CC(C3)C1)C2)c1ccccc1,,4.64,,4.22671,4.22948
CC(=O)C(C)(C)C,,1.2,,1.37519,1.37519
CC(=O)C(C)=O,,-1.34,,-0.497071,-0.497071
CC(=O)C(C)C,,0.84,,0.746545,0.746545
CC(=O)C(C)CN1CCCCC1,,1.28,,-0.31508,1.23912
CC(=O)C(Cc1ccccc1)C(C)=O,,1.89,,1.83754,1.84047
CC(=O)C(F)(F)F,,0.2,,0.435198,0.435198
CC(=O)C/C(O)=N/c1n[n+]([O-])c2ccccc2[n+]1[O-],,-1.4,,-0.965689,-0.0557365
CC(=O)C1(O)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,,2.35,,2.62251,2.62251
CC(=O)C1(O)CCC2C3CC(C)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,,2,,2.5893,2.5893
CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,,3.17,,3.16317,3.16317
CC(=O)C12OC(C)(c3ccc(F)cc3)OC1CC1C3CCC4=CC(=O)CCC4(C)C3CCC12C,,5.7,,5.26503,5.26503
CC(=O)C1=C(/C=C/C(C)=C/C=C/C(C)=C/C=O)C(C)(C)CC1,,,6.63,4.3119,4.3119
CC(=O)C1=CCCN(NC(=O)c2ccccc2)C1,,,0.8,0.874959,0.875113
CC(=O)C1=CCN(NC(=O)c2ccccc2)CC1,,,2.4,0.766545,0.766723
CC(=O)C1CC1,,0.49,,0.618086,0.618086
CC(=O)C1CCC2C3CC(C)C4=CC(=O)CCC4(C)C3C(=O)CC12C,,2.75,,3.24776,3.24776
CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,,4.22,,4.04726,4.04726
CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC12C,,2.36,,3.11953,3.11953
CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,,3.87,,3.94186,3.94186
CC(=O)C1c2cccc(O)c2C(=O)c2c(O)cccc21,,,3.49,2.94067,2.99954
CC(=O)C=CC1C(C)=CCCC1(C)C,,3.85,,3.67444,3.67444
CC(=O)C=Cc1ccc(Br)cc1,,3.03,,3.01744,3.01744
CC(=O)C=Cc1ccc(C#N)cc1,,1.64,,1.78409,1.78409
CC(=O)C=Cc1ccc(C(F)(F)F)cc1,,3.13,,3.05817,3.05817
CC(=O)C=Cc1ccc(C)cc1,,2.65,,2.61727,2.61727
CC(=O)C=Cc1ccc(Cl)cc1,,2.8,,2.81072,2.81072
CC(=O)C=Cc1ccc(F)cc1,,2.22,,2.34641,2.34641
CC(=O)C=Cc1ccc(N(C)C)cc1,,2.66,,2.50286,2.50326
CC(=O)C=Cc1ccc(O)cc1,,1.86,,1.91086,1.92069
CC(=O)C=Cc1ccc(OC(C)=O)cc1,,1.63,,1.92125,1.92125
CC(=O)C=Cc1ccc([N+](=O)[O-])cc1,,1.9,,1.9952,1.9952
CC(=O)C=Cc1cccc(Br)c1,,3.02,,3.00646,3.00646
CC(=O)C=Cc1cccc(C#N)c1,,1.59,,1.72807,1.72807
CC(=O)C=Cc1cccc(C(F)(F)F)c1,,3.03,,2.96881,2.96881
CC(=O)C=Cc1cccc(C)c1,,2.68,,2.60281,2.60281
CC(=O)C=Cc1cccc(Cl)c1,,2.81,,2.81619,2.81619
CC(=O)C=Cc1cccc(F)c1,,2.25,,2.34992,2.34992
CC(=O)C=Cc1cccc([N+](=O)[O-])c1,,1.88,,2.03506,2.03506
CC(=O)C=Cc1ccccc1,,2.07,,2.16488,2.16488
CC(=O)C=Cc1ccccc1C,,2.6,,2.56096,2.56096
CC(=O)C=Cc1ccccc1C(F)(F)F,,3.14,,2.9203,2.9203
CC(=O)C=Cc1ccccc1Cl,,2.85,,2.77186,2.77186
CC(=O)C=Cc1ccccc1F,,2.34,,2.324,2.324
CC(=O)C=Cc1ccccc1O,,2.19,,1.89165,1.92201
CC(=O)C=Cc1ccco1,,1.35,,1.40814,1.40814
CC(=O)C=NO,,0.34,,-0.0644049,-0.0448534
CC(=O)CC(=O)C(C)(C)C,,1.67,,1.27824,1.27942
CC(=O)CC(=O)Nc1ccc(-c2ccc(NC(=O)CC(C)=O)c(C)c2)cc1C,,1.75,,1.95688,2.01685
CC(=O)CC(C)=O,,0.4,,-0.0708815,-0.0694906
CC(=O)CC(C)C,,1.31,,1.43962,1.43962
CC(=O)CC(c1ccc([N+](=O)[O-])cc1)C1C(=O)Oc2ccccc2C1=O,,1.98,,1.66878,2.83012
CC(=O)CC(c1ccccc1)C1C(=O)Oc2ccccc2C1=O,,2.7,,0.844183,2.86386
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,0.86,,,1.14412,3.28329
CC(=O)CCC(=O)O,,-0.49,,-2.26375,-0.0674994
CC(=O)CCC(=O)O[C@H]1C[C@H](n2cc(/C=C/Br)c(=O)[nH]c2=O)O[C@@H]1COP1(=O)OCc2cccc(C)c2O1,,,2.3,1.23646,1.28201
CC(=O)CCC(C)=O,,-0.27,,0.17964,0.17964
CC(=O)CCC(C)C,,1.88,,1.90867,1.90867
CC(=O)CCC1CC1,,1.5,,1.61023,1.61023
CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,0.22,0.29,0.29,0.387196,0.387201
CC(=O)CCCc1ccccc1,,2.42,,2.54928,2.54928
CC(=O)CCNC(=O)c1cc(N2CC2)c([N+](=O)[O-])cc1[N+](=O)[O-],,,0.56,1.20645,1.20777
CC(=O)CF,,-0.39,,-0.271062,-0.271062
CC(=O)CNc1ccccc1C(N)=O,,0.61,,0.484991,0.485027
CC(=O)COc1ccccc1,,1.04,,1.50732,1.50732
CC(=O)Cc1ccccc1,,1.44,,1.76628,1.76628
CC(=O)Cn1ccnc1[N+](=O)[O-],,-0.34,,-0.383808,-0.383808
CC(=O)N(C)C,,-0.77,,-0.511713,-0.511713
CC(=O)N(C)C(=O)COC(=O)c1ccccc1,,1.58,,0.958686,0.958686
CC(=O)N(C)C1=NC(=O)C(=Cc2ccc([N+](=O)[O-])o2)S1,,1.05,,0.992599,0.992599
CC(=O)N(C)CCOC(=O)c1ccccc1,,1.24,,1.31131,1.31131
CC(=O)N(C)N=Nc1ccc(C(N)=O)cc1,,1.37,,1.2748,1.27489
CC(=O)N(C)N=Nc1ccc(C)cc1,,3.23,,2.76234,2.76234
CC(=O)N(C)N=Nc1ccc(F)cc1,,2.77,,2.57455,2.57455
CC(=O)N(C)Nc1ccccc1,,1.31,,0.957638,0.957638
